original,disfluent
What was the Jacksonville fire later known as?,What was the Savannah uh no i meant say instead Jacksonville fire later known as?
 When did the Spanish and Portuguese colonies lose their independance.,When did the Spanish and Portuguese colonies primarily gained no lose their independence?
What repulsion follows when atomic clouds overlap?,"What is the, um actually, what repulsion follows when atomic clouds overlap?"
What is one part of the innate immune system that doesn't attack microbes directly?,Which is or no make that what is one part of the innate immune system that doesn't attack microbes directly?
What does the name Fresno mean in Spanish?,What is the Italian meaning no sorry what is the Spanish meaning of the name Fresno?
Who took up the path of violence?,"Who took up the path of struggle, uh actually of violence?"
What did the license to build this type of car expire in 2011?,What car is licensed no cancel that and tell me What did the license to build this type of car expire in 2011?
What was formed when the government merged in 1967?,What was the result of the 1967 referendum I mean just formed when the government merged in 1967?
 Who reigned over the Ottoman empire when it was at its most weak.,When did no um who reigned over the Ottoman empire when it was at its most weak?
"Nearly 7,000 students are enrolled where?","At the University of Chicago, no wait nearly 7,000 students are enrolled where?"
What involves mass production of similar items without designated planning?,Which involves sorry What involves mass production of similar items without designated planning?
In what part of the United States did many students migrate to Christian academies during the desegregation period?,In what part of the United States did many teachers I mean students migrate to Christian academies during the desegregation period?
Who was the last known European to visit China and return?,"What did Polo, no I'm sorry, who was the last known European to visit China and return?"
To whom did Rep. Joe Barton write a letter?,When did no to whom did Rep. Joe Barton write a letter?
What does Warszawa mean in Polish?,What does Wroc\\u0142aw rather Warszawa mean in Polish?
What year is the earliest traces of the color Crimson at Harvard?,What did Eliot handing out The Harvard Crimson at a regatta do for the school in 1875 oh no sorry tell me what year are the earliest traces of the color Crimson at Harvard?
Sauriwa is the earliest known name for what area?,Sauriwa is the earliest known name for what country no sorry area?
What does continuous motion along dike swarms create for sediment to be deposited?,What does continuous motion along dike swarms create for sediment to be deformed or rather deposited?
"Along with Canada and the United Kingdom, what country generally doesn't refer to universities as private schools?","Along with Canada and the United Kingdom,What are schools or sorry hat country generally doesn't refer to universities as private schools?"
 What did the civil war leave the state of Iraq economy in?,What did the civil war leave the state of Afghanistan's economy in no sorry the state of Iraq's economy in?
What serves as a barrier between bodily tissues and the nervous system?,Dendritic cells are named that because what serves as a barrier between bodily tissues and the nervous system?
Under which field did the world's first synthetically produced nuclear reaction occur?,What world's no Under which field did the world's first synthetically produced nuclear reaction occur?
How many students did Charles William Eliot teach throughout his tenure at Harvard?,How many professors oh um students did Charles William Eliot teach throughout his tenure at Harvard?
Hank Paulson is the former Chairman and CEO of what banking firm?,Raghuram Rajan or wait Hank Paulson is the former Chairman and CEO of what banking firm?
How many rival princes were involved in assassinating Gegeen?,How many rival princes were involved in assassinating Ayurbarwada uh sorry Gegeen?
What did Kllbrandon's report in 1973 recommend establishing?,What did Kilbrandon's report in 1914 no sorry 1973 recommend establishing?
Who was Bill Aiken's adopted mother?,Who was Bob Gallion ugh I mean Bill Aiken's adopted mother?
What is one of the largest and most modern oncological institutions in Curie?,What have the clinics infrastructure done a lot of over the past years or wait tell me what is one of the largest and most modern oncological institutions in Curie?
What percentage of people died in Crimea of the Black Death?,What percentage of people died in Central Asia or no make that in Crimea of the Black Death?
Was the plan informalized?,"Where was or actually no, was the plan informalized?"
What was the objective of Royal Proclamation of 1763?,"What was the objective of Royal Proclamation of 1774, no sorry, of 1763?"
What did cellular theory claim was in an organism's humors?,When did What did cellular theory claim was in an organism's humors?
What  former administrative building was used for the MSP's offices?,Which or make that what former administrative building was used for the MSP's offices?
"Who opened the new Parliament building on October 9, 2004?","Who opened the new parkland no Parliament building on October 9, 2004?"
What areas did French recruit natives from?,The French were supported by who in the war rather what areas did they recruit natives from?
What has become the secret to economic growth?,What has become the secret to inequality no economic growth?
How else might a physician take advantage of self-interest?,Where might or how else might a physician take advantage of self-interest?
Who expounded the Three Laws of Motion?,Who established the principle for buoyancy no that's a part of it who expounded the three laws of motion?
What were European countries doing during the 1700's?,What were Persian er uh European countries doing during the 1700's?
What is the Dutch name for the Rhine?,What does or uh what is the Dutch name for the Rhine?
How long is the Germany?,"How long is the Rhine, no, Germany?"
In what way do idea strings transmit tesion forces?,What can er uh in what way do idea strings transmit tesion forces?
 Who thought the world could not be split into climatic zones?,Who thought the climates no um the world could not be split into climatic zones?
When is the correlation occasionally negative?,When is the correlation occasionally positive no no I mean when its negative?
Telenet was licensed under what founder? ,BBN was no sorry Telenet was licensed under what founder?
"In the most common construction procurement, who acts as the project coordinator?","There are direct contractual links between who no sorry I mean in the most common construction procurement, who acts as the project coordinator?"
What can a simultaneous hermaphrodite do?,What can a sequential hermaphrodite do no no what can a simultaneous hermaphrodite do?
What are responsibilities pharmacy technicians never deal with?,What does pharmacy legislation mandate no sorry tell me what are responsibilities pharmacy technicians never deal with?
Who is elected to serve as the Presiding Officer at the beginning of each parliamentary session?,Who is elected to serve as the Presiding Officer at the end excuse me beginning of each parliamentary session?
What are the three major types of rock? ,What are the three major types of magma or I mean of rock?
What year did Kind Vilnius move his court to Warsaw?,At which time did actually no scratch that what year did Kind Vilnius move his court to Warsaw?
What do all but one platycenida species lack?,What do all but one oral-aboral strike that platycenida species lack?
What can be seen between hadrons?,What is the force between nucleons no sorry what can be seen between hadrons?
What long term agenda was the acts of plundering Muslim lands by the West?,What long term conspiracy no agenda was the acts of plundering Muslim lands by the West?
What cells are at their lowest while people are awake?,What cells are at their lowest while people are asleep ah no I mean awake?
"In what year were there 366,233 people in Jacksonville?","In what year were there 366,233 people in Florida uh rather Jacksonville?"
Who created assessments that were found to have substantial errors?,Who created assessments that were changed no um found to have substantial errors?
What percentage of Pinedale is black?,What percentage of Little Italy no Pinedale is black?
What have studies on income inequality sometimes found evidence confirming?,The Kuznets curve says oh what have have studies on income inequality sometimes found evidence confirming?
Who specifically does HT target to maintain the opinion of?,Who specifically does a democratic system work to no make that HT target to maintain the opinion of?
What was the name of the infamous German Gestapo prison?,"Who does the, no wait, what was the name of the infamous German Gestapo prison?"
What exchange in the FMCG is one of the most important for Central and Eastern Europe?,How no what exchange in the FMCG is one of the most important for Central and Eastern Europe?
What is the name of the scheme that provides tuition and fee assistance to students due to excess enrollment?,What is the name of the programs that provides tuition and fee assistance to students due to excess enrollment no scheme?
Political advantage is an attribute of which state policies?,Political advantage often means a country doing what er no is an attribute of which state policies?
Who did Dinwiddie order to address French in Virginia territory?,Who did Van Braam ugh I want to say Dinwiddie order to address French in Virginia territory?
How many school vouchers were issued by Sweden in 2008?,What percent of Swedish pupils enrolled or rather how many school vouchers were issued by Sweden in 2008?
What organization is John Schmitt and Ben Zipperer members of?,What is economic liberalism rather organization is John Schmitt and Ben Zipperer members of?
" For many centuries, what was the Brotherhood described as?","Who was the first democratically elected president of Egypt for many centuries, what was the Brotherhood described as?"
What US companies are compiled in the Top-250,Who reports no What US companies are compiled in the Top-250\\t?
What do many people want to integrate into interstate 5?,"What do many people want to integrate into State Route 99, oh no sorry, into interstate 5?"
Different committees have what set out in different ways?,What type of committee is set down under the SP's standing orders no scratch that I want to know what do different committees have set out in various ways?
What status has the Brotherhood obtained in the Islamic world?,What umm position or no status has the Brotherhood obtained in the Islamic world?
 Any even number larger than what cannot be considered prime?,Any even number larger than what can be hold on cannot be considered prime?
Who constructed an experiment where stones and rocks were rolled down an incline?,Who constructed an experiment where cannonballs no stones and rocks were rolled down an incline?
Ctenophora are less complex than which other phylum?,Ctenophora are more complex than which other phylum or rather more complex than which other phylum?
How wide is the Rhine in Germany between Emmrich and Cleves?,"How wide is the river, sorry the Rhine river, in Germany between Emmrich and Cleves?"
What South Korean car manufacturer purchased the factory in 2005?,What South Korean car manufacturer purchased the factory in 2011 um no 2005?
What made the student decide to occupy the president's office in protest?,What made the society decide to occupy the president's office in protest no the students?
What strains of y. pestis were found in the mass graves?,What strains of the plague was found in the mass graves or rather what strain of y. pestis?
What increased about Harvard's student body in 2005?,What class no what increased about Harvard's student body in 2005?
Under which policy are labor unions encouraged?,Which set or instead under which policy are labor unions encouraged?
Which historic empire used cultural imperialism to sway local elites?,"Which historic empire used social, umm I mean cultural imperialism to sway local elites?"
In what year did Warszowa become the official capital of the Masovian Duchy?,In what year was the settlement no no sorry what year did Warszowa become the official capital of the Masovian Duchy?
The Rhine gets how much water from the Aare?,The Rhine um joins no no gets how much water from the Aare?
How many did this epidemic in China kill?,How many did this epidemic in Central Asia kill no sorry in China not Central Asia?
 imperialism often unites countries by using which technique?,Religion no rather imperialism often unites countries by using which technique?
How do cilia and aboral escape from danger?,What do how do cilia and aboral escape from danger?
What does Neumes say that composition with prime numbers was inspired by?,Which French educator no no I mean what does Neumes say that composition with prime numbers was inspired by?
"Name the British economist, theorist and philosopher who is also an author and alumni?","What US instead name the British economist, theorist and philosopher who is also an author and alumni?"
A liberal force that acts on a closed system has what kind of mechanical work?,A conservative no the liberal force that acts on a closed system has what kind of mechanical work?
DECnet originally released in 1982 for what reason?,Linux originally released in 1982 for what reason no DECnet?
What is needed to pack electrons densely together?,Why does no sorry rather what is needed to pack electrons densely together?
When did the Jin dynasty end?,"When did the Song dynasty, I mean the Jin dynasty, when did it end?"
The long tentacles on the pleurbrachia are protected by what?,The long bodies or uh tentacles on the pleurbrachia are protected by what?
What did the Taliban want to subject the entire country to?,"What did the Deobandi want to subject the entire country to, no sorry it was the Taliban?"
What do building inspectors do about utility lines?,What do building contractors or wait inspectors do about utility lines?
What disorder causes the immune system to distinguish between self and non-self?,What are the specialized cells that eliminate cells disorder causes the immune system to distinguish between self and non-self?
"Though Turabi proclaimed his support for the democratic process, he strictly applied what after coming into power?","Though al-Nimeiry or uh Turabi proclaimed his support for the democratic process, he strictly applied what after coming into power?"
Internet2 became what in 2007? ,Internet2 became what in 2006 uhh 2007?
In what year did Harvard end its early admission program?,In what year did Carnegie sorry Harvard end its early admission program?
What is the resultant force called when two forces act on a particle?,When forces er what is the resultant force called when two forces act on a particle?
Semen contains what in order to kill pathogens?,Semen contains anti-microbial peptides to or what in order to kill pathogens?
What certificates must private schools worldwide work towards?,What are private schools in Ireland called no scratch that I want to know what certificates must private schools worldwide work towards?
What do people pleading no contest believe about defending themselves?,How do or no make that what do people pleading no contest believe about defending themselves?
What is sometimes impossible to model?,Which is or no make that what is sometimes impossible to model?
In what year was the Interstate Highway System created?,In what year was the State Route 99 built no scratch that tell me the year when the Interstate Highway System was created?
How many private school students were there in 1979?,How many private school students were there in 1984 no I guess 1979?
What is one result of civil rebellion?,What action or uh what is one result of civil rebellion?
Who was the first chair of the IPCC?,Who is the vice-chair no the first chair of the IPCC?
What do people with lower income have less access to?,What do people with inequality I mean lower income have less access to?
Where are no hospital pharmacies located?,What is um no where are no hospital pharmacies located?
Who is the university accredited by?,How many or uh who is the university accredited by?
Which institute is a center for Near Western studies?,Which university sorry institute is a center for Near Western studies?
The party awarded a seat is the one with the highest what?,"How are the, um actually the party awarded a seat is the one with the highest what?"
In 2010 what did the average earning for a professional show?,In 2010 what did the average salary no the average earning for a professional show?
When was the non-Muslim Brotherhood founded?,"When was the non-Muslim Brotherhood implemented, oh sorry, when was it founded?"
Why do people chose civil disobedience to protest?,"to protest, Why do people chose civil disobedience?"
What three churches have colleges in Sydney?,What three churches have colleges in Hunters Hill or no rather in Sydney?
What can curtail the risk of occupational injuries in the construction industry?,Who can or rather what can curtail the risk of occupational injuries in the construction industry?
The word imperialism has it's origins in which ancient language? ,By what or rather the word imperialism has it's origins in which ancient language?
What force describes Lorenzo's Law?,What describes Lorenzo's law or rather what force describes Lorenzo's Law?
When was the Ottoman empire at its height?,"How many provinces, oh no I mean, when was the Ottoman empire at its height?"
There is increased wind from what direction in July?,In what direction does most of the wind in Fresno originate from or rather what direction in July is there increased wind?
What is an Islamic revival movement?,Which or no make that what is an Islamic revival movement?
How isn't income inequality generally viewed by workers?,How is income inequality generally viewed by workers no how is it not viewed by workers?
Which two leading roles did Audra McDonald perform when she was in high school?,Which two leading roles did Audra McDonald perform on Broadway no when she was in high school?
Who never captured Fort Beausejour?,Who never captured French fortress no sorry Fort Beausejour?
Who went to Radcliffe and was trained there as students in its early days?,Who in the Great Depression no who was it that went to Radcliffe and was trained there as students in its early days?
What are peptides processed into?,What are antigens processed into no peptides?
What type of wages result from jobs where there is low supply but high demand?,Why does sorry What type of wages result from jobs where there is low supply but high demand?
 What were the three forms of environmental determinism?,On which three pillars no no what were the three forms of environmental determinism?
How many billionaires are now living in Cambridge?,How many billionaires attended no are now living in Cambridge?
How many bodies of water make up the Rhine?,How many bodies of water make up the Swiss-Austrian no Rhine?
How many divisions are required to verify the division of the number 37?,Trial division involves how many divisions are required to verify the division of the number 40 or rather 37?
What has shortened the Rhine river? ,What lake no what has shortened the Rhine river?
When did Barton and Whitfield demand climate research records?,When did Boehlert no Barton and Whitfield demand climate research records?
Which plateau is the left part of Vistula on?,How many er which plateau is the left part of Vistula on?
What is the process of adding structure to real property or construction of buildings?,What are  or uh what is the process of adding structure to real property or construction of buildings?
Who wasn't on Celeron's expedition?,What wasn't no no i mean who wasn't on Celeron's expedition?
When was Warsaw Palace completely razed to the ground by bombing raids?,What building um no when was Warsaw Palace completely razed to the ground by bombing raids?
"What is the name of an algebraic structure in which addition, subtraction and multiplication are defined?","What is the name of a prime number, oops my bad, an algebraic structure in which addition, subtraction and multiplication are defined?"
Brownlee justifies civil disobedience toward what branch of the government?,civil disobedience toward what branch of the government is justified by Brownlee ?
What area of Fresno were the Fresno Fairgrounds located in?,What part of no what area of Fresno were the Fresno Fairgrounds located in?
What term referred to middle class citizens leaving the suburbs?,What term referred to upper or rather middle class citizens leaving the suburbs?
What's the party's take on Muslim history?,How do the colonial powers sorry let me rephrase that how does the party view Muslim history?
Why were Western Chinese ranked higher?,Why were Nothern I mean Western Chinese ranked higher?
Who does the statue of Little Insurgent commemorate?,What does no who does the statue of Little Insurgent commemorate?
The male fossil known as Lucy was discovered by who?,The male fossil known as Lucy was discovered when or I mean by who?
"The ""It's Scotland's oil"" campaign resulted from the discovery of what in the South Sea?","The \""It's Scotland's oil\"" campaign resulted from the discovery of what in the North Sea, no wait, the South Sea?"
What is the status of the Harvard University Archives with undergraduates?,How was the no what is the status of the Harvard University Archives with undergraduates?
"When the election produced an SNP majority government, what was it the first occurrence of?","How many or rather when the election produced an SNP majority government, what was it the first occurrence of?"
What was the first Sacramento station called?,What type of stations does Chico have or rather what was the name of the first Sacramento station?
How many same-sex partnerships without kids were there?,What no make that how many same-sex partnerships without kids were there?
What does the Wessel-Datteln canal run parallel to?,How wide er what does the Wessel-Datteln canal run parallel to?
 What did the non-Salafi movement put emphasis on?,"What did the, no better yet, what did the non-Salafi movement put emphasis on?"
What types of responsibilities might a pharmacy technician have?,What types of responsibilities might a healthcare or no make that a pharmacy technician have?
How accurate did Guo make the formed lunisolar calendar?,"How accurate did Guo make the Gregorian calendar, no sorry, the formed lunisolar calendar?"
What usually takes place on location for an unknown client?,What usually takes place on location for a new customer or rather an unknown client?
 How many rival princes were involved in living with Gegeen?,What did or rather how many rival princes were involved in living with Gegeen?
Who were the Pannonian troops allies with?,What legion or actually who were the Pannonian troops allies with?
What sticky cells used to capture prey are missing from a few sponge species?,Which or better yet What sticky cells used to capture prey are missing from a few sponge species?
In what year was David Tappan elected to the chair?,In what year was Samuel Webber er David Tappan elected to the chair?
How much of the of the water flow volume of the Rhine flows farther east?,What's the or uh how much of the of the water flow volume of the Rhine flows farther east?
In what year were the oldest additions in New Delhi opened?,In what year were the oldest additions in Seine uh rather New Delhi opened?
Where did the pharmacist stand in relation to the Emperor's personal physicians?,"How, no wait, where did the pharmacist stand in relation to the Emperor's personal physicians?"
What is the 16th century known as the start of?,What civilization did the pottery belong to no sorry I'm wondering what is the 16th century known as the start of?
What is the full official city name of Warsaw?,What is name for Warsaw in Polish or the full official city name of Warsaw?
What does the contractor produce to let everyone see the project's goals?,"What does the owner produce to let everyone see the project's goals, no that's not right it's the the contractor not owner?"
In what year did ENR compile data in nine market segments?,What is a trade magazine no year did ENR compile data in nine market segments?
When did Maududi leave the Jamaat-e-Islami party?,When did Maududi leave the Jamaat-e-Islami revival no instead party?
Who donated property to the University of Chicago?,Who financed the original board of trustees no sorry who donated property to the University of Chicago?
Which religion did Kublai prefer?,Which religion did the Yuan no the Kublai prefer?
 Who was the first democratically elected president outside of Egypt?,What was no who was the first democratically elected president outside of Egypt?
What Republic has maintained its control of Afghanistan?,What Republic has maintained its control of Iran no switch that Afghanistan?
What entity sparked the growth of Fresno Station?,Which or sorry I mean what entity sparked the growth of Fresno Station?
What type of hypersensitivity is associated with allergies?,What type of antigen is associated with allergies no um not antigen but hypersensitivity?
What type of civil disobedience is commonly accepted?,"What does rebellion require, uh, sorry, what type of civil disobedience is commonly accepted?"
What type of studies do Geochronologists perform?,What type of rock samples from drill cores in the lab do biostratigraphers I mean studies do Geochronologists perform?
 What did the Mongol elites wish Buyantu do?,How did or no make that what did the Mongol elites wish Buyantu do?
What type of group is The non-Islamic State?,"What type of group is the Islamic State, nope make that the non-Islamic State?"
What do geologists use to investigate the surface?,What do biogeochemical no geologists use to investigate the surface?
Fresno City College is located at what two avenues?,Fresno City College just north of where I mean it is located at what two avenues?
What does high inequality go hand-in-hand with?,"What does low, oh wait, high inequality go hand-in-hand with?"
How much water does the Rhine discharge at the French border?,How much water does the Rhine drain or better discharge at the French border?
If 1 were to be considered as prime what would the sieve of Eratosthenes yield for all other numbers?,If 3 no no I meant 1 were to be considered as prime what would the sieve of Eratosthenes yield for all other numbers?
What molecules are parts of the body of an organism in immunology?,What receptors errm rather molecules are parts of the body of an organism in immunology?
What flows out of the former bay Hollands Diep?,What flows out of the Merwede-Oude Maas no the former bay Hollands Diep?
Why is the seating of the debating chamber arranged as it is?,Why is the seating of the debating chamber arranged in a straight line or rather why is it arranged as it is?
WHat is the name of the FMCG agency for external border security?,WHat is the name of the BPO or uh FMCG agency for external border security?
Where is the Holocene further expanded since it is very short with short epochs?,What is the I mean where is the Holocene further expanded since it is very short with short epochs?
What do orogenic wedges work in the same way as?,What are um no what do orogenic wedges work in the same way as?
Where can sedimentary rock not be found at the same time?,Who wrote er where can sedimentary rock not be found at the same time?
Where will a canonball dropped from the crow's nest of a ship land according to Aristotle?,"Where will a canonball dropped from the crow's nest of a ship land according to Galileo, opps, to Aristotle?"
What may explain why some Americans who've become rich may have had a head start?,Who owns no What may explain why some Americans who've become rich may have had a head start?
How many times less is the strenght of the weak field compared to the strong?,What force is weaker than gravity no sorry tell me thow many times less is the strength of the weak field compared to the strong?
When did Jamaa Islamiya renounce violence?,"What day, no i mean, what year  did Jamaa Islamiya renounce violence?"
How do studies give information about tectonic plate boundaries?,What are i meant to say how do studies give information about tectonic plate boundaries?
Where did one of Oppman's daughters decide she wanted to hang out and stay?,Where did one of Triton's or no make that Oppman's daughters decide she wanted to hang out and stay?
When did the y. pestis reach England?,When did the y. pestis hit the Netherlands no wait I mean when did it reach England?
"Residential construction practices, technologies, and resources must conform to what?","Residential construction waste sorry no practices, technologies, and resources must conform to what?"
How many seats did the SNP take from the Liberal Democrats?,What did oh uh how many seats did the SNP take from the Liberal Democrats?
What was done to counteract the overpopulation of mnemiopsis in The Black Sea?,What was done to counteract the overpopulation of phytoplankton no mnemiopsis in The Black Sea?
What needs to be made to ensure richer members of society can participate in economic growth?,What doesn't er what needs to be made to ensure richer members of society can participate in economic growth?
What does the Sieve of Eratosthenes do?,What does the Egyptians no the Sieve of Eratosthenes do?
Horizontal layers of what are pulled along a surface into a back stop in analog versions of orogenic wedge experiments?,Horizontal zones or uh layers of what are pulled along a surface into a back stop in analog versions of organic wedge experiments?
What philosophy of thought  addresses wealth inequality?,What distribution no philosophy of thought addresses wealth inequality?
What event happened 66 million years ago?,What event happened 515 million years ago no wait 66 million years ago?
What does the government provide for students turned away from priority courses?,What does the financial assistance no the government provide for students turned away from priority courses?
What is the city centre of Warsaw called in Polish?,How do no wait where do IPCC reports get their information?
What are the different tectonic plates called?,"What is another word for the Earth's lower, no i mean,  upper mantle are the different tectonic plates called?"
"Whose role is to design the works, prepare the specifications and produce construction drawings, administer the contract, tender the works, and manage the works from inception to completion","What role or rather make that whose role is design the works, prepare the specifications and produce construction drawings, administer the contract, tender the works and manage the works from inception to completion?"
What direction did Watson say the mistake went in?,Watson said the mistake went in What direction  ?
Who designed the Fogg Museum of Art?,Who designed the Carpenter Center for the Visual Arts no no sorry the Fogg Museum of Art?
Where are bills typically gestated in Stage 1?,Where are bills typically gestated in Stage 2 uh like sorry Stage 1?
What type of wages do people unable to afford an education receive?,"What is the, nope, what type of income do people without and education receive?"
In 2004 the Orange revolution occurred in what country?,In 2004 the Orange revolution brought baltic countries I mean it occurred in what country?
In what time period were lagerstatten first found?,In what time period were ctenophores first found no I meant lagerstatten?
What characteristic in recent years has been strongly tied with health in developed countries?,Which or no rather what characteristic in recent years has been strongly tied with health in developed countries?
What was the first year that Yale and Harvard played football?,What position or like what was the first year that Yale and Harvard played football?
Where does the Rhine river's measurement begin?,Where does the Constance no the Rhine river's measurement begin?
What amount of money did Kent-Brown have invested in Harvard?,"What amount of money did Kent-Brown have invested in shantytown, oh how much did he invest in Harvard?"
What concept was developed by Baran while researching at RAND,How are no What concept was developed by Baran while researching at RAND?
Who do clinical pharmacists never work with?,"What is the, no let me ask, who do clinical pharmacists never work with?"
Who refused to act until Washington approved plans?,"Who refused to act until Abercrombie approved plans, sorry until Washington's approval?"
When did the Brotherhood support violence as a means of achieving its goals?,Whose ideas became oh no just when did the Brotherhood support violence as a means of achieving its goals?
Members of which organizations are disqualified from sitting in the SP as elected MSPs?,Members of which what does being an MSP share with no organizations are disqualified from sitting in the SP as elected MSPs?
How many student loans can you apply for in four years at Harvard?,What else or how many student loans can you apply for in four years at Harvard?
"In UDP, the network guarantees what?","In UDP, what suite er uh instead the network guarantees what?"
 What organization did Iqbal join in France?,"What organization did the Muslim League join in France, oh not the Muslim League, but Iqbal?"
In what year was the University of Maynard incorporated?,When did no in what year was the University of Maynard organized no incorporated?
 What was the Japanese name for the Central Secretariat?,What was the region for the Central Secretariat no the Japanese name?
What are examples of clinical services that pharmacists can provide?,What outcomes or uh what are examples of clinical services that pharmacists can provide?
What does a basic program also require?,In what way does a ugh no I mean what does a basic program also require?
What are public schools allowed to do to retain talented students?,What are two  no What are public schools allowed to do to retain talented students?
When was Thoreau's essay published?,How no I mean when was Thoreau's essay published?
Stage 4 is the final stage of what?,Stage 3 or make that stage 4 is the final stage of what?
What did the  fossils found in the Burgess Shale lack?,What was found to be missing in wait what did the fossils found in the Burgess Shale lack?
What did Germanic tribes establish with help from the Rhine?,"What did Hagen tribes establish with help from the Rhine, no no what did the Germanic tribes establish?"
Where can Aeolian sand with a number of dunes be found?,What type er where can Aeolian sand with a number of dunes be found?
When was the Rhine crisis?,Where rather when was the Rhine crisis?
What are the most abundant kind of phagocyte?,How are the or make that what are the most abundant kind of phagoycte?
What combined with lowering prices to make it difficult or impossible for poor people to keep pace?,What combined with rising rather lowering prices to make it difficult or impossible for poor people to keep pace?
What area of science is understanding slowly changing?,"What benefits, sorry, area of science is understanding slowly changing?"
What do some community pharmacies do?,What what do some umm community pharmacies do?
What borders did the French complete during the Middle Ages?,What borders did the French annex well complete during the Middle Ages?
What is one reason securing an amendment of the law is not recognized?,What does oh uh what is one reason securing an amendment of the law is not recognized?
To what extent did Fermat confirm the validity of Fermat numbers?,To what extent did Mersenne no um Fermat confirm the validity of Fermat numbers?
How did the 2001 IPCC report compare to reality on sea levels?,How did the 2007 uh 2001 IPCC report compare to reality on sea levels?
Who is the primary rival of the Harvard Crimson hockey team?,Who is the primary rival of the Harvard Crimson soccer no oops hockey team?
What is the last major city in the stream of the Rhine called?,How long no what is the last major city in the stream of the Rhine called?
On what show did Bill Aiken make is television debut?,On what TV show did Bob Gallion make his debut no no Bill Aiken rather?
What did Guo Shoujing not do for calendars?,What did Shen Kuo not do for calendars no Guo Shoujing?
What would a parent have to pay to send their child to a boarding school in 2012?,What would a um a parent have to pay to send their child to a supplement no sorry boarding school in 2012?
"Are ctenophores predators, vegetarian or parasitic?","Are um plankton no ctenophores predators, vegetarian or parasitic?"
When did the American Philosophical Society enlist Maclure to make the geological survey?,When did William Maclure no the American Philosophical Society enlist Maclure to make the geological survey?
Survival needs such as income for food and shelter motivates what type of entrepreneurship? ,What increases with time ugh no I mean survival needs such as income for food and shelter motivates what type of entrepreneurship?
What did Graham Twigg publish in 1984?,What did J. F. D. Shrewsbury sorry Graham Twigg publish in 1984?
What US Prime Minister is an alumni?,What US Prime Minister is a Nobel laureate or sorry an  alumni?
When did colonial governors meet with General Edward Braddock about peace with the french?,Which year When did colonial governors meet with General Edward Braddock about peace with the french?
What was suggested at the Symposium in 1967,What was suggested at the Symposium in 1965 sorry in 1967?
What service used the network and modified KPN devices?,Which or no make that what service used the network and modified KPN devices?
There were many Chinese with what expected status?,There were many Japanese sorry Chinese with what expected status?
What are most detailed plans in construction?,What is the sorry What are most detailed plans in construction?
What are schools called that don't charge tuition in Austraila?,What are private no not private but tuition free schools called in Australia?
When was the great plague of London?,What percentage not that I mean when was the great plague of London?
What was Larry Roberts hope?,What was the BBN monopoly's reaction to Roberts or rather what was Larry Robert's hope?
What is the mayor of Warsaw called?,Who is in charge of or rather what is the mayor of warsaw called?
What is the largest medical school in Poland?,What is the most prestigious no the largest medical school in Poland?
What does the Nederrikn's name change into?,How much er what does the Nederrikn's name change into?
Who has limited productive potential when faced with more access to education?,Who has limited productive potential when faced with less no I mean more access to education?
What aspects of life does Islamism seek to integrate itself into?,What aspects of life does Shari'a no sorry Islamism seek to integrate itself into?
 What religions did Tugh Temur reject?,What academy or uh religions did Tugh Temur reject?
"At 5 am, each sitting day, the MSPs decide on what?",What is heralded by the sounding of the deciding bell or rather what did the MSPs decide on at 5 am on each sitting day?
In what year was the D'Angelo and Rika Library built?,Which University or in what year was the D'Angelo and Rika Library built?
What do you use to let idea strings switch direction?,"In what way, uh, what do you use to let idea strings switch direction?"
What is the immune system of the brained known as?,"What is the immune system of the worm, um like brain known as?"
What company was Bedau a part of while breaking the law by bringing medicine to Iraq?,How was or rather what company was Bedau a part of while breaking the law by bringing medicine to Iraq?
In what year did developers Billings & Meyering acquire the Alta Vista Tract?,In what year did developers William Stranahan or instead Billings & Meyering acquire the Alta Vista Tract?
"For a field F containing 0 and 1, what would be the prime field?","For a field F containing 0 and 1, what would be considered indecomposable the prime field?"
What did Vilenski represent better than anyone else?,What did Art Deco no um who was it oh Vilenski represent better than anyone else?
Who was the Uighur King of Qocho ranked above?,Who was the Uighur King of Qocho ranked below no sorry who was he ranked above?
What is the definition of agency as it unrelates to incapabilities? ,What is the definition of human development no no um agency as it unrelates to incapabilities?
What does the National Museum boast having from Adolf Hitler's private collection?,"What does the Museum of Posters, oopsie, the National Museum boast having from Adolf Hitler's private collection?"
What is one way an attorney tries to get a business district changed?,What must an attorney adhere to or wait I want to know one way in which an attorney tries to get a business district changed?
What kind of tuition is charged if you enroll in a Sonderungsverbot?,"How does, oh you know what, what kind of tuition is charged if you enroll in a Sonderungsverbot?"
What protein does Staphylococcus aureus produce to make antibodies ineffective?,What protein does malaria no Staphylococcus aureus produce to make antibodies ineffective?
What is the function of specialize cells located in the brain?,"What is the function of specialized cells located in the bone marrow, or the brain rather?"
Early Western texts referencing the East describe the people as being what?,Early Western texts referencing the orient uh oops the East describe the people as being what?
How much of a difference in homicide rates aren't related to inequality?,What is or wait how much of a difference in homicide rates aren't related to inequality?
What was the principle shown in The Mark of Anarchy?,What specific part or rather principle was shown in The Mark of Anarchy?
What was KMJ originally known as?,"What was VHF, oh sorry, I mean, KMJ originally known as?"
Who was part of the case with Wisconsin in 1976?,Who was part of the case with Wisconsin in 1852 or no make that in 1976?
What type of person can not be attributed civil disobedience?,What group of people cannot be part of civil disobedience or rather what type of person can not be attributed civil disobedience?
